"","gene","p_val","p_val_adj","avg_log2FC","celltype"
"AC005208.1","AC005208.1",0,0.0091,5.54,"MSM"
"CD248","CD248",3e-04,0.0091,2.78,"SMC1"
"LINC00598","LINC00598",4e-04,0.0091,3.38,"SMC1"
"MT-ATP6","MT-ATP6",9e-04,0.0091,1.13,"FAP4"
"MCU","MCU",0,0.0093,2.91,"MSM"
"FLRT2","FLRT2",0,0.0093,2.79,"MSM"
"COL8A1","COL8A1",4e-04,0.0093,5.42,"SMC1"
"CYP1B1-AS1","CYP1B1-AS1",4e-04,0.0095,4.64,"SMC1"
"FAT4","FAT4",4e-04,0.0095,1.57,"SMC1"
"TMTC2","TMTC2",4e-04,0.0095,2.41,"SMC1"
"ANKH...208","ANKH",4e-04,0.0095,2.68,"SMC1"
"PRPSAP1","PRPSAP1",4e-04,0.0096,1.52,"SMC1"
"SERPINE3...210","SERPINE3",4e-04,0.0097,2.24,"SMC1"
"AC024230.1","AC024230.1",4e-04,0.0099,5.29,"SMC1"
"LRRN4CL","LRRN4CL",4e-04,0.0099,4.24,"SMC1"
"PLAC9","PLAC9",4e-04,0.0099,1.48,"SMC1"
"BICC1","BICC1",4e-04,0.01,3.51,"SMC1"
"AC068413.1","AC068413.1",0,0.0102,5.27,"MSM"
"GPRC5A","GPRC5A",4e-04,0.0102,1.25,"SMC1"
"PI16","PI16",4e-04,0.0103,5.27,"SMC1"
"RUNX1...218","RUNX1",0,0.0104,3.57,"MSM"
"OGFRL1","OGFRL1",4e-04,0.0104,1.85,"SMC1"
"LGALS3BP","LGALS3BP",4e-04,0.0104,1.38,"SMC1"
"C1R...221","C1R",4e-04,0.0105,1.76,"SMC1"
"KLF4","KLF4",5e-04,0.0105,1.6,"SMC1"
"EPHA6...223","EPHA6",0,0.0106,4.1,"FAP3"
"LINC01117","LINC01117",5e-04,0.0106,2.71,"SMC1"
"SERPINF1","SERPINF1",5e-04,0.0106,2.9,"SMC1"
"ANGPTL2","ANGPTL2",5e-04,0.0106,1.2,"SMC1"
"ARL6IP5","ARL6IP5",5e-04,0.0107,1.23,"SMC1"
"ABCA9","ABCA9",5e-04,0.0109,4.57,"SMC1"
"MT-CO2","MT-CO2",0.0012,0.0109,1.2,"FAP4"
"THSD7A","THSD7A",5e-04,0.0115,5.2,"SMC1"
"CD34","CD34",5e-04,0.0116,2.81,"SMC1"
"ITM2B","ITM2B",5e-04,0.0116,1.14,"SMC1"
"MXRA8","MXRA8",5e-04,0.0117,1.54,"SMC1"
"FN1...234","FN1",5e-04,0.0117,1.88,"SMC1"
"C3","C3",6e-04,0.0117,6.9,"SMC1"
"TNFRSF10B","TNFRSF10B",6e-04,0.0117,1.67,"SMC1"
"WNT5B","WNT5B",6e-04,0.0118,2.59,"SMC1"
"ARHGEF3","ARHGEF3",6e-04,0.0121,3.38,"SMC1"
"ERN1","ERN1",6e-04,0.0121,1.24,"SMC1"
"TMEM132C","TMEM132C",6e-04,0.0122,3.11,"SMC1"
"OPCML","OPCML",0,0.0123,2.52,"SMC2"
"PRG4...242","PRG4",0,0.0123,7.53,"SMC2"
"APLP2","APLP2",0.0014,0.0124,1.7,"FAP4"
"CYBRD1","CYBRD1",6e-04,0.0126,1.16,"SMC1"
"RGS5","RGS5",0,0.0127,2.13,"SMC2"
"LHFPL6","LHFPL6",0.0015,0.0127,2.76,"FAP4"
"INSIG1","INSIG1",6e-04,0.0128,2.35,"SMC1"
"TNFSF10","TNFSF10",6e-04,0.0129,3.37,"SMC1"
"RMDN2-AS1...249","RMDN2-AS1",6e-04,0.0129,4.55,"SMC1"
"ZNF385D","ZNF385D",6e-04,0.0129,2.8,"SMC1"
"PLPP3","PLPP3",6e-04,0.0129,1.57,"SMC1"
"CUBN","CUBN",7e-04,0.0132,2.86,"SMC1"
"AL590807.1","AL590807.1",7e-04,0.0132,4.46,"SMC1"
"MMP2","MMP2",7e-04,0.0132,3.72,"SMC1"
"SLC44A1","SLC44A1",7e-04,0.0132,1.14,"SMC1"
"CACNB4","CACNB4",7e-04,0.0133,3.34,"SMC1"
"RNASE4","RNASE4",7e-04,0.0133,1.59,"SMC1"
"DPT","DPT",7e-04,0.0136,5.01,"SMC1"
"EGLN1","EGLN1",7e-04,0.0138,1.17,"SMC1"
"BIRC2","BIRC2",7e-04,0.0139,1.74,"SMC1"
"MIR99AHG","MIR99AHG",7e-04,0.014,1.32,"SMC1"
"CRLF1","CRLF1",8e-04,0.0142,3.14,"SMC1"
"STX4","STX4",8e-04,0.0142,1.82,"SMC1"
"ITPKC","ITPKC",8e-04,0.0142,2.95,"SMC1"
"AL356124.1","AL356124.1",8e-04,0.0143,2.44,"SMC1"
"MEG8","MEG8",8e-04,0.0143,6.21,"SMC1"
"ACO1","ACO1",8e-04,0.0143,1.24,"SMC1"
"AC004917.1","AC004917.1",0,0.0145,2.05,"FAP1"
"PTGFR...269","PTGFR",0,0.0145,2.29,"FAP1"
"AC011511.5","AC011511.5",0,0.0145,3.03,"FAP1"
"ZNF608","ZNF608",0,0.0145,4.49,"FAP1"
"AMPH","AMPH",8e-04,0.0145,2.59,"SMC1"
"ITGA11","ITGA11",8e-04,0.0145,2.28,"SMC1"
"LAMB1","LAMB1",8e-04,0.0147,2.4,"SMC1"
"AC104663.1","AC104663.1",0,0.0148,4.78,"MSM"
"ATP6V0E1","ATP6V0E1",8e-04,0.015,1.02,"SMC1"
"PDIA3","PDIA3",9e-04,0.015,1.07,"SMC1"
"EFNA5...278","EFNA5",0,0.0151,2.05,"FAP1"
"FNDC1","FNDC1",9e-04,0.0152,4.12,"SMC1"
"MFAP5","MFAP5",9e-04,0.0154,5.2,"SMC1"
"AC008397.1","AC008397.1",9e-04,0.0154,2.61,"SMC1"
"VCAN-AS1","VCAN-AS1",9e-04,0.0154,4.6,"SMC1"
"AC135050.3","AC135050.3",9e-04,0.0154,2.67,"SMC1"
"PLTP","PLTP",9e-04,0.0154,1.07,"SMC1"
"LINC02062","LINC02062",9e-04,0.0154,1.05,"SMC1"
"SLC19A2","SLC19A2",9e-04,0.0154,1.72,"SMC1"
"BX284613.2","BX284613.2",9e-04,0.0155,1.88,"SMC1"
"AF117829.1","AF117829.1",9e-04,0.0155,1.25,"SMC1"
"AMPD3","AMPD3",0,0.0156,3.58,"FAP3"
"ISLR","ISLR",9e-04,0.0157,3.33,"SMC1"
"ADD3","ADD3",0.001,0.016,2.28,"SMC1"
"MGP","MGP",0.001,0.016,1.35,"SMC1"
"TNNI3K","TNNI3K",0.001,0.0164,1.84,"SMC1"
"CFAP161","CFAP161",0.001,0.0164,2.34,"SMC1"
"BTNL8","BTNL8",1e-04,0.0166,5.22,"MSM"
"SNED1...296","SNED1",0.0021,0.0167,3.83,"FAP4"
"AC044893.1","AC044893.1",1e-04,0.0168,3.22,"MSM"
"SAA1","SAA1",1e-04,0.0168,5.16,"MSM"
"RRAD","RRAD",1e-04,0.0168,2.56,"MSM"
"CASQ2","CASQ2",1e-04,0.0168,2.57,"MSM"
"AMOTL1","AMOTL1",1e-04,0.0168,2.25,"MSM"
"AC090403.1","AC090403.1",1e-04,0.0168,2.96,"MSM"
"B4GALT5","B4GALT5",0.0011,0.0172,1.03,"SMC1"
"AC109927.1","AC109927.1",0,0.0174,1.9,"FAP3"
"PLA2G2A...305","PLA2G2A",0,0.0174,2.67,"FAP3"
"ARHGAP22","ARHGAP22",0.0011,0.0174,4.4,"SMC1"
"ECHDC1","ECHDC1",0.0011,0.0176,1.6,"SMC1"
"RUNX1...308","RUNX1",0.0023,0.0176,3.46,"FAP4"
"AL078604.4...309","AL078604.4",0.0011,0.0177,5.81,"SMC1"
"CCNG2","CCNG2",0.0011,0.0178,1.55,"SMC1"
"ELMO1","ELMO1",0.0012,0.0181,3.97,"SMC1"
"TNFAIP6","TNFAIP6",0.0012,0.0181,5.7,"SMC1"
"PCOLCE","PCOLCE",0.0012,0.0181,1.85,"SMC1"
"OPA3","OPA3",0,0.0182,1.33,"FAP1"
"EYA1","EYA1",0,0.0182,2.82,"FAP1"
"FGL2","FGL2",0.0012,0.0182,4.22,"SMC1"
"ULK4","ULK4",0.0012,0.0182,1.18,"SMC1"
"MGST1","MGST1",0.0012,0.0183,5.52,"SMC1"
"AC023355.1","AC023355.1",0,0.0185,2.1,"FAP1"
"RFX3-AS1","RFX3-AS1",0.0012,0.0185,1.38,"SMC1"
"TXNIP","TXNIP",0.0012,0.0185,1.34,"SMC1"
"HSP90B1","HSP90B1",0.0012,0.0185,1.12,"SMC1"
"GREB1L","GREB1L",0.0012,0.0187,3.71,"SMC1"
"MFAP4","MFAP4",0.0012,0.0187,1.24,"SMC1"
"LINC01697","LINC01697",0.0012,0.0188,4.2,"SMC1"
"SRPX2","SRPX2",0.0013,0.0188,2.48,"SMC1"
"ECM1","ECM1",0.0013,0.0188,1.9,"SMC1"
"AL513166.1...328","AL513166.1",0.0013,0.0189,3.84,"SMC1"
"LAMA2","LAMA2",0.0013,0.0189,5.93,"SMC1"
"NAV1","NAV1",0.0013,0.0191,1.21,"SMC1"
"NOVA1","NOVA1",0.0013,0.0192,4.61,"SMC1"
"ALDH1A1","ALDH1A1",0.0013,0.0192,1.67,"SMC1"
"GALNT17","GALNT17",1e-04,0.0195,3.92,"MSM"
"ITGA9","ITGA9",1e-04,0.0195,3.68,"MSM"
"PLCE1","PLCE1",1e-04,0.0195,3.29,"MSM"
"PRUNE2","PRUNE2",1e-04,0.0195,3.58,"MSM"
"GABRB2","GABRB2",1e-04,0.0195,4.39,"MSM"
"NCAM1","NCAM1",1e-04,0.0195,2.75,"MSM"
"CAPRIN2","CAPRIN2",1e-04,0.0197,2.72,"MSM"
"HELLPAR...340","HELLPAR",0.0014,0.0197,3.79,"SMC1"
"MT-ND5","MT-ND5",0.0027,0.0197,1.67,"FAP4"
"TMEM200A","TMEM200A",1e-04,0.0198,5.06,"MSM"
"AP002762.2","AP002762.2",0.0014,0.0199,2.23,"SMC1"
"CYBA","CYBA",0.0014,0.0199,1.98,"SMC1"
"VCAN","VCAN",0.0014,0.0199,5.35,"SMC1"
"LPIN1","LPIN1",0.0014,0.0199,1.02,"SMC1"
"PANX1","PANX1",0.0014,0.0199,1.22,"SMC1"
"GEM...348","GEM",0.0014,0.0199,1.46,"SMC1"
"AL591501.1","AL591501.1",1e-04,0.0201,4.86,"MSM"
"RRM2B","RRM2B",1e-04,0.0201,2.98,"MSM"
"GADD45A","GADD45A",1e-04,0.0201,3.05,"MSM"
"C2orf27A","C2orf27A",1e-04,0.0201,2.88,"MSM"
"AL136442.1","AL136442.1",1e-04,0.0201,4.21,"MSM"
"ERI2...354","ERI2",0,0.0204,2.01,"FAP1"
"ICAM5","ICAM5",0,0.0204,3.05,"FAP1"
"PREPL","PREPL",1e-04,0.0204,2.22,"MSM"
"KCND3","KCND3",0.0015,0.0204,1.98,"SMC1"
"CCN1","CCN1",0.0015,0.0204,1.4,"SMC1"
"LINC01608","LINC01608",1e-04,0.0209,4.64,"MSM"
"KLF5","KLF5",1e-04,0.0209,2.96,"MSM"
"RNF144A","RNF144A",0.0015,0.0209,2.45,"SMC1"
"LRRC23","LRRC23",0.0015,0.0209,1.69,"SMC1"
"AC119674.1...363","AC119674.1",0.0015,0.0209,1.77,"SMC1"
"PCDH7","PCDH7",0.0016,0.0211,4.77,"SMC1"
"COTL1","COTL1",1e-04,0.0215,1.54,"FAP3"
"ERI2...366","ERI2",1e-04,0.0215,2.33,"FAP3"
"PTGS2","PTGS2",0.0016,0.0217,4.85,"SMC1"
"LTBP2","LTBP2",0.0016,0.0217,3.66,"SMC1"
"SLC25A44","SLC25A44",0.0016,0.0218,1.87,"SMC1"
"ATF7IP2","ATF7IP2",0.0017,0.0218,2.05,"SMC1"
"SORBS2...371","SORBS2",0,0.022,5.93,"FAP1"
"LINC01088","LINC01088",0.0017,0.022,1.94,"SMC1"
"MT-ND4","MT-ND4",0.0031,0.022,1.18,"FAP4"
"COL21A1","COL21A1",1e-04,0.0223,2.48,"MSM"
"FBLN5","FBLN5",0.0017,0.0224,4.22,"SMC1"
"ZNF217","ZNF217",0.0017,0.0224,1.26,"SMC1"
"SMIM14","SMIM14",0.0017,0.0224,1.1,"SMC1"
"CASP4","CASP4",0.0017,0.0224,1.11,"SMC1"
"ADGRV1","ADGRV1",1e-04,0.0226,4.14,"MSM"
"SAMD3","SAMD3",2e-04,0.0226,5.79,"MSM"
"LRRK2","LRRK2",2e-04,0.0226,2.87,"MSM"
"CLEC14A","CLEC14A",0.0018,0.0226,3.23,"SMC1"
"DEC1","DEC1",0.0018,0.0228,1.05,"SMC1"
"FGFR1","FGFR1",0.0018,0.0228,1.42,"SMC1"
"MT-CYB","MT-CYB",0.0033,0.0228,1.24,"FAP4"
"PEX5L","PEX5L",2e-04,0.0229,2.9,"MSM"
"FAM20C","FAM20C",0.0018,0.0229,1.04,"SMC1"
"COL6A1","COL6A1",0.0018,0.0229,1.25,"SMC1"
"PDPN","PDPN",0.0018,0.023,5.08,"SMC1"
"EML1","EML1",0.0018,0.0231,2,"SMC1"
"C1S...391","C1S",0.0035,0.0231,3.56,"FAP4"
"TLE4","TLE4",0.0035,0.0231,3.47,"FAP4"
"GBP1","GBP1",0.0019,0.0235,1.88,"SMC1"
"PRELP","PRELP",0.0019,0.0235,1.3,"SMC1"
"ZBTB21","ZBTB21",0.0019,0.0235,1,"SMC1"
"CBLB","CBLB",0.0019,0.0235,1.71,"SMC1"
"ADM","ADM",1e-04,0.0236,1.55,"FAP3"
"ISM1","ISM1",1e-04,0.0237,2.17,"FAP3"
"GAS6","GAS6",1e-04,0.0237,1.54,"FAP3"
"CXCL2...400","CXCL2",1e-04,0.0237,1.72,"FAP3"
"EFCAB13...401","EFCAB13",1e-04,0.0237,1.52,"FAP3"
"SLPI...402","SLPI",1e-04,0.0237,3.02,"FAP3"
"CCDC85A","CCDC85A",1e-04,0.0237,3.11,"FAP3"
"NTRK2","NTRK2",1e-04,0.0238,1.26,"FAP3"
"EPHA7...405","EPHA7",1e-04,0.0239,2.88,"FAP1"
"KIAA1217","KIAA1217",0.0019,0.0239,2.64,"SMC1"
"SLFN11","SLFN11",1e-04,0.024,1.23,"FAP3"
"ACVRL1","ACVRL1",0.002,0.0241,3.18,"SMC1"
"IER3","IER3",0.002,0.0241,2.92,"SMC1"
"BMPER","BMPER",0.002,0.0242,4.7,"SMC1"
"LRRC49","LRRC49",0.002,0.0242,3.05,"SMC1"
"MAN1A1","MAN1A1",0.002,0.0245,1.22,"SMC1"
"SYNE3","SYNE3",0.0021,0.0245,1.43,"SMC1"
"KCTD8","KCTD8",2e-04,0.0246,3.35,"MSM"
"AC091576.1","AC091576.1",2e-04,0.0246,5.35,"MSM"
"SYT14","SYT14",2e-04,0.0246,3.53,"MSM"
"ASTN2","ASTN2",2e-04,0.0246,1.9,"MSM"
"PCLO","PCLO",2e-04,0.0246,3.76,"MSM"
"FST","FST",2e-04,0.0246,5.49,"MSM"
"ITGA3","ITGA3",2e-04,0.0246,3.07,"MSM"
"PTP4A1","PTP4A1",2e-04,0.0246,2.69,"MSM"
"PTPRD","PTPRD",2e-04,0.0246,3.9,"MSM"
"SLIT2...423","SLIT2",2e-04,0.0246,1.93,"MSM"
"GASK1B","GASK1B",0.0021,0.0246,4.44,"SMC1"
"IL1RL2","IL1RL2",0.0021,0.0246,1.67,"SMC1"
"TLN2","TLN2",0.0021,0.0246,2.75,"SMC1"
"METTL7A","METTL7A",0.0021,0.0246,1.36,"SMC1"
"ITPRIP","ITPRIP",0.0021,0.0247,2.25,"SMC1"
"KIF21A","KIF21A",0.0021,0.0248,2.27,"SMC1"
"ACOT12","ACOT12",1e-04,0.0251,1.48,"FAP1"
"DISC1","DISC1",0.0022,0.0251,1.45,"SMC1"
"SRGAP1","SRGAP1",0.0022,0.0253,2.13,"SMC1"
"DDR2","DDR2",0.0022,0.0255,1.05,"SMC1"
"C1R...434","C1R",0,0.0256,2.85,"SMC2"
"CACNA1C","CACNA1C",1e-04,0.0256,1.62,"FAP3"
"RASD1","RASD1",1e-04,0.0256,1.75,"FAP3"
"DNAJB1","DNAJB1",0.0022,0.0257,1.39,"SMC1"
"MALRD1","MALRD1",2e-04,0.0258,3.1,"MSM"
"TMEM72-AS1","TMEM72-AS1",1e-04,0.0259,3.1,"FAP3"
"KCNH1","KCNH1",1e-04,0.0261,3.33,"FAP3"
"TRAF3","TRAF3",0.0023,0.0262,1.57,"SMC1"
"PID1","PID1",0.0023,0.0263,5.64,"SMC1"
"LSP1","LSP1",0.0024,0.0264,2.58,"SMC1"
"IGFN1","IGFN1",0,0.0266,2.92,"MuSC"
"FAM180A","FAM180A",0,0.0266,3.21,"MuSC"
"MBP","MBP",0.0024,0.0266,2.52,"SMC1"
"RFTN2","RFTN2",0.0024,0.0267,2.12,"SMC1"
"TMED10","TMED10",0.0024,0.0267,1.03,"SMC1"
"RUNX1...449","RUNX1",0.0024,0.0267,1.04,"SMC1"
"MX2","MX2",2e-04,0.027,2.05,"FAP3"
"AC119674.1...451","AC119674.1",2e-04,0.027,1.72,"FAP3"
"RSPO3...452","RSPO3",2e-04,0.027,2.95,"FAP3"
"ASAP1","ASAP1",0.0043,0.0271,2.57,"FAP4"
"MTSS1","MTSS1",0.0025,0.0274,3,"SMC1"
"S100A13","S100A13",0.0025,0.0274,1.74,"SMC1"
"ACKR3","ACKR3",0.0025,0.0274,1.86,"SMC1"
"KLHL21","KLHL21",0.0025,0.0274,1.21,"SMC1"
"SLC16A7...458","SLC16A7",0.0025,0.0274,1.16,"SMC1"
"PTGER4","PTGER4",0.0026,0.0276,2.43,"SMC1"
"CD47","CD47",0.0026,0.0276,1.1,"SMC1"
"PMF1","PMF1",0.0026,0.0278,1.63,"SMC1"
"THBS4","THBS4",0.0026,0.0278,3.16,"SMC1"
"FMO3","FMO3",0,0.028,2.04,"Pericyte"
"DPH6","DPH6",2e-04,0.028,1.32,"FAP3"
"CRYM","CRYM",2e-04,0.0281,1.95,"FAP3"
"SMIM4","SMIM4",2e-04,0.0282,1.28,"FAP3"
"ICAM1...467","ICAM1",2e-04,0.0282,2.38,"FAP3"
"PCDH9...468","PCDH9",2e-04,0.0282,1.2,"FAP3"
"ALDH1A3","ALDH1A3",0.0027,0.0282,4.54,"SMC1"
"PLD3","PLD3",0.0027,0.0285,1.09,"SMC1"
"NFKBIA","NFKBIA",0.0027,0.0285,1.55,"SMC1"
"RPLP0","RPLP0",0.0046,0.0285,2.35,"FAP4"
"SRPX","SRPX",0.0028,0.0291,3.2,"SMC1"
"PLOD1","PLOD1",0.0028,0.0291,1.42,"SMC1"
"SERTAD2","SERTAD2",0.0028,0.0291,1,"SMC1"
"AUTS2","AUTS2",0.0047,0.0291,2.49,"FAP4"
"TRPS1","TRPS1",0.0048,0.0291,1.45,"FAP4"
"ENPP1","ENPP1",0.0028,0.0292,1.48,"SMC1"
"LRMDA","LRMDA",2e-04,0.0294,1.35,"FAP3"
"LONRF3","LONRF3",0.0029,0.0294,1.23,"SMC1"
"HRH1","HRH1",0.0029,0.0295,4.5,"SMC1"
"ANGPT1","ANGPT1",2e-04,0.0298,1.91,"FAP3"
"AR","AR",0.0029,0.0298,1.68,"SMC1"
"TNC","TNC",0.0029,0.0298,1.18,"SMC1"
"FILIP1","FILIP1",0.003,0.0299,1.08,"SMC1"
"ATP2B1","ATP2B1",0.003,0.0301,1.65,"SMC1"
"HAS2-AS1","HAS2-AS1",3e-04,0.0302,3.79,"MSM"
"SERPINE2","SERPINE2",0.003,0.0304,3.14,"SMC1"
"ZCWPW2","ZCWPW2",3e-04,0.0307,1.26,"FAP3"
"ENPP2","ENPP2",0.0031,0.031,1.87,"SMC1"
"AC006460.2...491","AC006460.2",0.0031,0.031,1.46,"SMC1"
"SYTL4","SYTL4",0.0031,0.031,1.59,"SMC1"
"TANK","TANK",0.0031,0.031,1.78,"SMC1"
"AC096531.2","AC096531.2",1e-04,0.0311,2.5,"FAP1"
"CP...495","CP",1e-04,0.0311,2.52,"FAP1"
"TMEM150C","TMEM150C",1e-04,0.0311,1.03,"FAP1"
